swing_id,camera_angle,skill_level,confidence,address_score,take_away_score,mid_backswing_score,top_score,mid_downswing_score,impact_score,follow_through_score,finish_score,
B12_S2_I_nn,side,beginner,4,60,25,60,78,75,50,50,30,"Address: Legs not flexed; Takeaway: Both arms bent, Arms not maintained straight; Follow-through: Hands pulled too close to body; Finish: Loss of posture, Short swing finish"
B12_S2_O_nn,side,beginner,4,60,65,65,69,73,70,78,30,"Address: No weight shift forward; Takeaway: Bent arms; Mid-backswing: Club too far behind body; Finish: Incomplete body rotation, Poor finish balance"
B12_S3_O_nn,side,beginner,4,38,55,55,77,55,69,78,10,"Address: Excessive backward spine bend, No weight shift forward; Takeaway: Bent arms; Mid-backswing: Club too far behind body, In-to-out swing path; Mid-downswing: In-to-out swing path; Impact: Open clubface; Finish: Poor finish balance, Incomplete swing finish"
B12_S4_O_nn,side,intermediate,4,95,75,90,65,80,90,90,55,"Takeaway: Closed clubface; Top: Arms too far behind body, Open clubface at top; Mid-downswing: Loss of wrist lag; Finish: Incomplete swing finish"
B24_F1_I_nn,front,beginner,4,60,70,68,80,78,70,80,45,"Address: Upright posture, No spine bend; Takeaway: Hands and club not moving together; Mid-backswing: Left arm not straight; Top: Sway to the right; Mid-downswing: Loss of wrist lag; Impact: No hip rotation; Follow-through: Left arm tucked in slightly; Finish: Incomplete swing finish"
B24_F1_O_nn,front,,,,,,,,,,,
B24_F2_I_nn,front,beginner,4,80,68,60,80,70,70,80,50,"Address: No forward spine bend, Knees not flexed; Mid-backswing: Early extension; Follow-through: Left arm tucked in; Finish: Poor finish balance, Incomplete swing finish"
B24_F2_O_nn,front,,,,,,,,,,,
B24_F3_I_nn,front,beginner,4,75,70,65,80,75,80,75,60,"Address: No weight shift forward, No spine bend; Takeaway: Hands and club not moving together; Mid-backswing: Early extension, Sway; Follow-through: Left arm tucked in; Finish: Incomplete swing finish"
B24_F3_O_nn,front,beginner,4,75,85,85,70,75,75,75,75,"Address: Hands too close to body; Takeaway: Hands and club not moving together; Mid-backswing: Early extension; Follow-through: Left arm tucked in; Finish: Incomplete swing finish, Right foot not rotated toward target"
B24_F4_I_nn,front,beginner,4,80,70,70,75,80,75,70,60,"Mid-backswing: Early extension, Sway; Follow-through: Left arm tucked in; Finish: Incomplete swing finish"
B24_F4_O_nn,front,beginner,4,70,70,70,85,85,85,85,70,"Address: Legs not flexed, No weight shift forward; Takeaway: Hands not moving together with club; Mid-backswing: No wrist lag, Early extension; Follow-through: Left arm tucked in slightly; Finish: Incomplete swing finish, Right foot not rotated toward target"
B24_F5_I_nn,front,beginner,4,75,70,60,85,80,80,75,70,"Address: Hands too close to body; Takeaway: Hands not moving together with club; Mid-backswing: No wrist lag, Early extension; Follow-through: Left arm tucked in; Finish: Incomplete swing finish"
B24_F5_O_nn,front,beginner,4,,,,,,,,,
B24_S1_I_nn,side,beginner,4,65,60,67,80,70,80,60,70,"Address: Knees not flexed; Takeaway: Closed clubface; Mid-backswing: Knees not flexed, Early extension, Upper body instability; Impact: Knees not flexed; Follow-through: No body rotation toward target, Left arm tucked behind body; Finish: Incomplete swing finish"
B24_S1_O_nn,side,beginner,4,70,62,60,85,70,85,80,70,"Address: Knees not flexed; Takeaway: Hands not moving together with club; Mid-backswing: Loss of wrist lag, Arms too far behind body; Finish: Incomplete swing finish"
B24_S2_O_nn,side,beginner,4,80,90,75,85,85,70,70,60,Address: No weight shift toward toes; Takeaway: Hands not moving together with club; Finish: Incomplete swing finish
B24_S3_I_nn,side,beginner,4,70,60,76,88,83,73,70,75,"Address: Knees not flexed; Takeaway: Hands not moving together with club; Mid-backswing: Loss of wrist lag, Arms too far behind body; Finish: Incomplete swing finish"
B24_S3_O_nn,side,beginner,4,95,62,78,87,82,80,82,70,Takeaway: Hands not moving together with club; Impact: Open clubface; Finish: Incomplete swing finish
B24_S4_I_nn,side,beginner,4,70,57,60,85,80,70,65,62,"Address: Legs not flexed, Hands too close to body; Takeaway: Hands too far behind body, Hands and club not moving together; Mid-backswing: Early extension, Knees not flexed; Follow-through: Incomplete swing finish; Finish: Incomplete swing finish"
B24_S4_O_nn,side,beginner,4,95,85,90,78,82,75,90,90,"Top: No wrist lag at top of swing; Impact: Hip rotation slower than hands, Hips not rotated toward target; Finish: Closed clubface"
B24_S5_I_nn,side,beginner,4,40,65,72,72,62,45,60,60,"Address: Feet not aligned evenly, Feet not parallel; Takeaway: Hands too far behind body, Not moving straight toward target, Knees not flexed; Mid-backswing: Knees not flexed, Feet not parallel; Mid-downswing: Feet not parallel, Knees not flexed, No hip rotation; Follow-through: Incomplete swing finish"
B24_S5_O_nn,side,beginner,4,90,100,85,90,100,90,68,70,"Address: Feet slightly uneven, Feet not parallel; Takeaway: Hands too far behind body, Dipping posture, Loss of body axis; Mid-backswing: No wrist lag; Mid-downswing: Early release of wrist lag; Finish: Incomplete swing finish"
B24_S6_O_nn,side,beginner,4,85,100,85,88,90,92,80,72,Address: Stance width too narrow; Mid-backswing: No wrist lag; Top: No optimal wrist lag; Finish: Incomplete swing finish
B46_F1_I_nn,front,pro,5,95,100,100,100,90,100,100,95,Address: Right foot set higher than left foot; Mid-downswing: Wrist lag not optimal; Finish: Slight forward body lean
B46_F1_O_nn,front,pro,5,100,95,75,100,90,88,70,88,"Mid-backswing: Reverse spine angle, Excessive weight shift to center; Follow-through: Chicken wing; Finish: Lower body and right foot not fully rotated"
B46_F2_I_nn,front,pro,5,95,100,92,100,100,90,98,93,Address: Right foot set slightly higher than left foot; Mid-backswing: Reverse spine angle; Impact: Hip rotation slower than hands; Finish: Stiff left shoulder
B46_F2_O_nn,front,Beginner,5,50,40,60,55,60,75,70,40,"Address: Knees not flexed; Takeaway: Hands and club not moving together, Weak club control; Mid-backswing: Knees not flexed, No hip rotation; Mid-downswing: No wrist lag; Finish: Incomplete swing finish"
B46_F3_I_nn,front,Beginner,5,45,52,62,78,60,61,30,30,"Address: Feet excessively flared outward, Hands too close to body; Mid-backswing: Early extension, Loss of balance, No wrist lag; Top: Excessive weight shift to the right; Impact: No hip rotation; Follow-through: Left arm not straight, Left arm tucked behind body, No hip rotation; Finish: Incomplete swing finish, Feet not rotated toward target"
B46_F4_I_nn,front,Beginner,4,45,52,60,78,60,62,61,30,"Address: Feet excessively flared outward, Knees not flexed, Hands too close to body; Mid-backswing: Early extension, Loss of balance, No wrist lag; Top: Excessive weight shift to the right; Impact: No hip rotation; Follow-through: Left arm not straight, Chicken wing, Left arm tucked behind body, No hip rotation; Finish: Incomplete swing finish, Feet not rotated toward target"
B46_F4_O_nn,front,Beginner,4,61,30,80,30,49,80,30,30,"Address: Hands and club pushed too far to the right; Mid-backswing: Sway to the right, No wrist lag; Mid-downswing: Loss of wrist lag, Left arm not straight; Finish: Incomplete swing finish, Feet not rotated toward target"
B46_F5_I_nn,front,Beginner,4,45,52,60,78,60,62,61,30,"Address: Feet excessively flared outward, Knees not flexed, Hands too close to body; Mid-backswing: Early extension, Loss of balance, No wrist lag; Top: Excessive weight shift to the right; Impact: No hip rotation; Follow-through: Left arm not straight, Chicken wing, Left arm tucked behind body, No hip rotation; Finish: Incomplete swing finish, Feet not rotated toward target"
B46_F5_O_nn,front,Beginner,4,100,85,60,90,70,70,30,70,"Address: Left foot set significantly higher than right foot, Uneven foot setup; Impact: Hitting ground before ball, Bent left arm at impact; Finish: Chicken wing"
B46_S1_I_nn,side,Pro,5,100,100,82,100,78,100,100,90,"Mid-backswing: Overswing, Arms too far behind body"
B46_S1_O_nn,side,Beginner,4,55,72,78,88,92,75,92,60,"Address: Knees not flexed, Hands too close to body, No swing space; Takeaway: Excessively open clubface; Finish: Right foot not rotated toward target"
B46_S2_I_nn,side,Beginner,4,55,72,78,88,72,72,70,55,"Address: Knees not flexed, Feet excessively flared outward; Impact: Hip rotation slower than hands; Follow-through: Hands tucked inside, Knees not flexed; Finish: Incomplete body rotation, Right foot not rotated toward target, Incomplete swing finish"
B46_S2_O_nn,side,Beginner,4,55,89,72,95,80,82,60,55,"Address: Knees not bending, No hip hinge; Finish: Short swing finish, Incomplete swing finish, Right foot not rotated toward target"
B46_S3_I_nn,side,pro,4,100,100,91,100,91,100,97,90,"Mid-backswing: Arms too far behind body; Mid-downswing: In-to-out club path; Finish: Stiff swing motion, Lack of flexibility"
B46_S3_O_nn,side,Beginner,4,92,100,90,100,79,97,97,95,Address: Left foot set higher than right foot; Mid-backswing: Flat swing plane; Mid-downswing: In-to-out club path
B46_S4_I_nn,side,Beginner,4,62,52,57,78,58,57,40,60,"Address: Knees not bending, Sway to the right; Mid-backswing: Sway to the right; Impact: Legs straightening at impact, Hip rotation slower than hands; Finish: Incomplete swing finish, Right foot not rotated toward target"
B46_S4_O_nn,side,Beginner,4,82,100,95,100,95,83,83,88,"Address: Stance too narrow, Uneven foot setup, Left foot set higher than right foot; Finish: Swing arc not fully extended"
B46_S5_I_nn,side,Beginner,4,40,62,50,85,72,67,65,40,"Address: Knees not bending, Sway to the right; Mid-backswing: Sway to the right; Impact: Legs straightening at impact, Hip rotation slower than hands; Finish: Incomplete swing finish, Right foot not rotated toward target"
B46_S5_O_nn,side,Beginner,4,100,75,72,88,73,73,78,63,"Takeaway: Hands and club not moving together; Mid-backswing: Club too far behind body; Mid-downswing: In-to-out club path; Impact: Right heel lifting too early, Open clubface; Finish: Incomplete swing finish"
B68_F1_I_nn,front,Pro,5,100,100,92,100,100,100,100,100,Mid-backswing: Reverse spine angle
B68_F1_O_nn,front,Pro,5,100,100,92,100,100,100,100,100,Mid-backswing: Reverse spine angle
B68_F2_I_nn,,,,,,,,,,,,
B68_F2_O_nn,front,Pro,5,100,100,92,100,100,100,100,92,Mid-backswing: Reverse spine angle; Finish: Lower back not moving toward target
B68_F3_I_nn,front,Pro,5,100,100,92,100,100,100,100,92,Mid-backswing: Reverse spine angle; Finish: Lower back not moving toward target
B68_F3_O_nn,front,Beginner,5,100,87,80,95,100,92,70,97,"Takeaway: Excessive sway to the right; Mid-backswing: Excessive sway to the right, Reverse spine angle; Follow-through: Chicken wing"
B68_F4_I_nn,front,Pro,5,100,100,92,100,100,100,100,100,Mid-backswing: Reverse spine angle
B68_F4_O_nn,front,Beginner,5,72,65,80,100,70,72,50,40,Address: Left arm excessively bent; Follow-through: Chicken wing; Finish: Chicken wing
B68_F5_I_nn,front,Pro,5,100,100,92,100,100,100,100,92,Mid-backswing: Reverse spine angle; Finish: Lower back not moving toward target
B68_F5_O_nn,front,Pro,5,100,100,92,100,100,100,100,100,Mid-backswing: Reverse spine angle
B68_S1_I_nn,side,Pro,5,100,100,95,100,100,100,100,100,Mid-backswing: Flat swing plane
B68_S1_O_nn,side,Pro,5,100,100,95,100,100,100,100,100,Mid-backswing: Flat swing plane
B68_S2_I_nn,side,Pro,5,100,100,95,100,100,100,100,100,Mid-backswing: Flat swing plane
B68_S2_O_nn,side,Pro,5,100,100,95,100,100,100,100,100,Mid-backswing: Flat swing plane
B68_S3_I_nn,side,Pro,5,100,100,95,100,100,100,100,100,Mid-backswing: Flat swing plane
B68_S3_O_nn,side,Beginner,4,100,95,90,100,90,87,90,72,Impact: Hip rotation slower than hands; Finish: Incomplete swing finish
B68_S4_I_nn,side,Pro,5,100,100,95,100,100,100,100,100,Mid-backswing: Flat swing plane
B68_S4_O_nn,side,Beginner,4,93,90,95,100,95,97,97,73,Address: Stance slightly narrower than shoulder width; Finish: Incomplete swing finish
B68_S5_I_nn,side,Pro,5,100,100,95,100,100,100,100,100,Mid-backswing: Flat swing plane
B68_S5_O_nn,side,Pro,5,100,100,95,100,100,100,100,100,Mid-backswing: Flat swing plane
B80_F1_I_nn,front,Pro,5,100,100,92,100,100,100,100,100,Mid-backswing: Reverse spine angle
B80_F1_O_nn,front,Beginner,5,97,82,82,100,88,89,73,90,Mid-backswing: Sway to the right; Follow-through: Chicken wing
B80_F2_I_nn,front,Pro,5,100,100,92,100,100,100,100,100,Mid-backswing: Reverse spine angle
B80_F2_O_nn,front,Beginner,5,97,82,82,100,88,89,73,100,Mid-backswing: Sway to the right; Follow-through: Chicken wing
B80_F3_I_nn,front,Pro,5,97,100,92,100,100,100,100,100,"Address: Uneven foot setup, Left foot set higher than; Mid-backswing: Reverse spine angle right foot"
B80_F3_O_nn,front,Beginner,5,100,93,82,100,86,87,73,100,Mid-backswing: Excessive sway; Mid-downswing: Excessive sway
B80_F4_I_nn,front,Pro,5,97,100,92,100,100,100,100,100,"Address: Uneven foot setup, Left foot set higher than; Mid-backswing: Reverse spine angle right foot"
B80_F4_O_nn,front,Pro,5,97,100,92,100,100,100,100,100,"Address: Uneven foot setup, Left foot set higher than; Mid-backswing: Reverse spine angle right foot"
B80_F5_I_nn,front,Pro,5,97,100,92,100,100,100,100,100,Mid-backswing: Reverse spine angle right foot
B80_F5_O_nn,front,Pro,5,97,100,92,100,100,100,100,100,Mid-backswing: Reverse spine angle right foot
B80_S1_I_nn,side,Pro,5,100,100,100,97,95,100,100,100,Mid-backswing: Flat swing plane
B80_S1_O_nn,side,intermediate,4,97,100,97,100,91,92,92,99,Address: Stance slightly narrower than shoulder width; Mid-downswing: In-to-out club path
B80_S2_I_nn,side,Pro,5,100,100,100,97,95,100,100,100,Mid-backswing: Flat swing plane
B80_S2_O_nn,side,intermediate,4,100,100,90,100,85,95,93,100,Mid-downswing: In-to-out club path
B80_S3_I_nn,side,Pro,5,100,100,92,100,100,95,100,100,Mid-backswing: Flat swing plane
B80_S4_I_nn,side,Pro,4,100,92,93,100,100,100,100,100,Takeaway: In-to-out club path; Mid-downswing: In-to-out club path
B80_S4_O_nn,side,intermediate,4,92,100,90,100,85,95,98,95,Address: Right foot set higher than left foot; Mid-downswing: In-to-out club path
B80_S5_I_nn,side,Pro,5,100,100,92,100,100,95,100,100,Mid-backswing: Flat swing plane
B80_S5_O_nn,side,Pro,5,100,100,92,100,100,95,100,100,Mid-backswing: Flat swing plane
B80_S6_O_nn,side,Pro,5,100,90,92,100,100,95,100,100,Mid-backswing: Flat swing plane
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
B2A_S1_I_nn,side,Pro,4,90,100,92,92,85,90,100,100,
B2A_S2_I_nn,side,Pro,4,92,100,90,90,95,98,100,100,
B2A_S3_I_nn,side,Pro,4,92,100,90,90,88,95,100,100,
B2A_S4_I_nn,side,Pro,4,95,100,92,92,88,92,100,100,
B2A_S5_I_nn,side,Pro,4,100,100,90,90,88,95,100,92,
B2A_S6_I_nn,side,Pro,4,100,100,92,88,88,92,100,100,
B2A_S7_I_nn,side,Pro,4,100,100,92,88,88,92,100,100,
B2A_S8_I_nn,side,Pro,4,100,100,95,89,92,90,100,100,
B2A_S9_I_nn,side,Pro,4,100,100,85,85,90,90,100,100,
B2A_S10_I_nn,side,Pro,4,100,100,87,87,88,90,100,100,
B2B_F1_I_nn,front,Beginner,4,47,72,52,52,30,57,40,62,
B2B_F2_I_nn,front,intermediate,4,80,82,88,82,70,70,65,62,
B2B_F3_I_nn,front,intermediate,4,80,72,85,71,70,67,60,70,
B2B_F4_I_nn,front,intermediate,4,85,83,71,78,60,63,55,30,
B2B_F5_I_nn,front,Beginner,4,68,72,72,70,50,78,65,70,
B2B_F6_I_nn,front,Beginner,4,80,60,62,60,40,55,67,40,
B2B_F7_I_nn,front,Beginner,4,75,81,60,50,45,40,67,40,
B2B_F8_I_nn,front,Beginner,4,77,30,65,62,47,45,30,30,
B2B_F9_I_nn,front,intermediate,4,80,75,70,75,40,35,50,40,
B2B_F10_I_nn,front,intermediate,4,87,77,76,70,40,57,70,40,
B2B_F11_I_nn,front,Beginner,4,80,65,62,70,40,40,62,40,
B2B_F12_I_nn,front,intermediate,4,85,45,60,52,60,70,75,40,
B2B_F13_I_nn,front,Beginner,4,85,40,52,55,45,30,80,40,
B2B_F14_I_nn,front,intermediate,4,66,78,70,70,69,75,72,40,
B2B_F15_I_nn,front,intermediate,4,88,82,78,80,72,70,78,57,
B2B_F16_I_nn,front,intermediate,4,90,70,72,75,65,77,80,47,
B2B_F17_I_nn,front,intermediate,4,90,73,73,77,72,79,80,53,
B2B_F18_I_nn,front,Beginner,4,70,70,65,65,60,62,65,65,
B2B_F19_I_nn,front,Beginner,4,65,70,65,65,67,72,66,47,
B2B_F20_I_nn,front,intermediate,4,77,75,77,77,69,73,70,47,
B2B_F21_I_nn,front,intermediate,4,97,70,83,85,73,75,67,62,
B2B_F22_I_nn,front,intermediate,4,92,72,83,75,70,82,65,60,
B2B_F23_I_nn,front,Beginner,4,83,87,73,70,60,66,55,40,
B2B_F24_I_nn,front,Beginner,4,65,70,63,65,60,62,60,40,
B2B_F25_I_nn,front,Beginner,4,90,80,87,87,40,53,66,63,
B2B_F26_I_nn,front,intermediate,4,72,83,87,77,65,65,70,63,
B2B_F27_I_nn,front,intermediate,4,92,60,67,65,60,62,62,82,
B2B_F28_I_nn,front,intermediate,4,97,88,82,85,48,57,60,58,
B2B_F30_I_nn,front,intermediate,4,92,73,67,62,48,50,60,52,
B2B_F31_I_nn,front,intermediate,4,93,70,90,90,82,85,65,50,
B2B_F32_I_nn,front,Beginner,4,92,67,75,70,45,47,60,50,
B2B_F33_I_nn,front,,,,,,,,,,,
B2B_F34_I_nn,front,Beginner,4,69,60,90,83,67,67,70,50,
B2B_F35_I_nn,front,Beginner,4,90,77,75,83,50,50,60,50,
B2B_F36_I_nn,front,Beginner,4,88,77,75,83,50,50,65,50,
B2B_F37_I_nn,front,Beginner,4,85,70,72,72,50,50,63,45,
B2B_F38_I_nn,front,Beginner,4,95,66,79,80,50,50,63,55,
B2B_F39_I_nn,front,Beginner,4,92,44,67,60,70,78,60,82,
B2B_F40_I_nn,front,Beginner,4,87,83,60,55,40,60,55,40,
B2B_F41_I_nn,front,,,,,,,,,,,
B2B_F42_I_nn,front,,,,,,,,,,,
B2B_F43_I_nn,front,Beginner,4,92,85,80,75,40,45,78,70,
B2B_F44_I_nn,front,Beginner,4,90,92,79,75,45,50,78,56,
B2B_F45_I_nn,front,Beginner,4,85,50,70,63,70,83,75,80,
B2B_F46_I_nn,front,Beginner,4,90,70,70,67,70,85,80,80,
B2B_F47_I_nn,front,Beginner,4,73,70,55,60,55,57,56,67,
B2B_F48_I_nn,front,Beginner,4,97,80,83,85,56,56,60,60,
B2B_F49_I_nn,front,Beginner,4,100,73,85,85,50,56,60,55,
B2B_F50_I_nn,front,Beginner,4,100,80,85,85,50,57,83,77,
B2B_F51_I_nn,front,Beginner,4,97,83,85,80,50,60,79,77,
B2B_F52_I_nn,front,intermediate,4,88,63,70,73,65,73,70,80,
B2B_F53_I_nn,front,intermediate,4,83,70,75,70,65,79,70,67,
B2B_F54_I_nn,front,intermediate,4,83,63,70,67,63,78,73,73,
B2B_F55_I_nn,front,intermediate,4,83,60,66,68,63,79,73,70,
B2I_45_I_nn,front,intermediate,3,97,95,89,85,83,80,90,75,
B2I_F1_I_nn,front,pro,4,100,100,92,90,80,100,87,90,
B2I_F2_I_nn,front,pro,4,100,100,92,100,90,87,93,93,
B2I_F3_I_nn,front,pro,3,95,100,90,90,95,93,97,95,
B2I_F4_I_nn,front,pro,4,100,100,90,88,85,100,95,90,
B2I_F5_I_nn,front,pro,4,100,100,90,90,85,100,90,85,
B2I_F6_I_nn,front,pro,4,100,100,92,90,90,85,97,85,
B2I_F7_I_nn,front,pro,4,100,100,97,92,90,85,89,90,
B2I_F8_I_nn,front,pro,4,100,100,93,93,95,97,97,90,
B2I_F9_I_nn,front,pro,4,100,100,95,95,93,97,97,90,
B2I_F10_I_nn,front,,,,,,,,,,,
B2I_F11_I_nn,front,,,,,,,,,,,
B2I_F12_I_nn,front,pro,4,100,100,90,92,97,100,97,90,
B2I_F13_I_nn,front,pro,4,100,100,92,90,95,97,97,90,
B2I_F14_I_nn,front,pro,4,100,100,90,90,90,97,100,90,
B2I_F15_I_nn,front,pro,4,100,100,90,90,90,99,93,90,
B2I_F16_I_nn,front,pro,4,100,100,90,90,92,97,95,90,
B2I_F17_I_nn,front,pro,4,100,100,92,97,99,95,95,97,
B2I_S1_I_nn,side,pro,4,100,100,92,97,100,100,100,93,
B2I_S1_O_nn,side,pro,4,100,100,93,90,97,87,95,88,
B2I_S2_I_nn,side,pro,4,97,90,92,95,95,92,97,95,
B2I_S2_O_nn,side,pro,4,97,100,91,92,90,90,100,90,
B2I_S3_I_nn,side,pro,4,98,100,95,97,95,95,100,90,
B2I_S3_O_nn,side,pro,4,97,100,92,90,90,97,100,90,
B2I_S4_I_nn,side,pro,4,99,100,90,90,95,97,100,90,
B2I_S4_O_nn,side,pro,4,100,100,85,90,92,97,100,85,
B2I_S5_I_nn,side,pro,4,97,100,90,92,90,92,100,85,
B2I_S5_O_nn,side,pro,4,93,100,92,95,93,95,100,90,
B2I_S6_I_nn,side,pro,4,93,95,95,90,90,95,97,90,
B2I_S6_O_nn,side,pro,4,97,100,80,85,90,90,97,90,
B2I_S7_I_nn,side,pro,4,95,100,90,85,80,90,95,90,
B2I_S7_O_nn,side,pro,4,95,97,90,90,90,90,95,90,
B2I_S8_I_nn,side,pro,4,95,100,92,80,90,90,97,90,
B2I_S8_O_nn,side,,,,,,,,,,,
B2I_S9_I_nn,side,intermediate,4,97,100,75,80,90,90,97,90,
B2I_S9_O_nn,side,intermediate,4,95,100,60,70,75,90,95,90,
B2I_S10_I_nn,side,intermediate,4,95,100,75,60,78,78,90,90,
B2I_S10_O_nn,side,intermediate,4,87,95,86,80,80,82,97,90,
B2I_S11_I_nn,side,intermediate,4,90,100,80,85,82,82,90,90,
B2I_S11_O_nn,side,intermediate,4,97,90,80,80,80,83,85,90,
B2I_S12_I_nn,side,intermediate,4,97,100,80,80,80,80,90,90,
B2I_S12_O_nn,side,intermediate,4,97,100,82,80,78,87,87,90,
B2I_S13_I_nn,side,intermediate,4,95,100,70,72,78,79,91,90,
B2I_S13_O_nn,side,intermediate,4,97,100,83,83,80,90,87,90,
B2I_S14_I_nn,side,intermediate,4,95,100,70,75,77,87,90,90,
B2I_S14_O_nn,side,intermediate,4,95,100,70,75,70,80,97,90,
B2I_S15_I_nn,side,intermediate,4,97,100,70,75,90,90,97,90,
B2I_S15_O_nn,side,intermediate,4,97,100,70,70,80,82,80,90,
B2I_S16_O_nn,side,intermediate,3,97,100,70,70,73,70,80,90,
B2I_S17_O_nn,side,intermediate,4,98,90,70,70,80,82,82,90,
B2I_S18_O_nn,side,intermediate,4,97,100,70,70,70,77,87,90,
B2I_S19_O_nn,side,intermediate,3,95,100,88,88,73,75,77,90,
B2I_S20_O_nn,side,intermediate,4,99,92,80,80,80,83,89,90,
B2I_S21_O_nn,side,intermediate,4,100,100,67,67,77,78,90,90,
B2I_S22_O_nn,side,intermediate,4,100,100,70,70,77,79,90,90,
B2I_S23_O_nn,side,intermediate,4,95,100,70,70,78,77,90,92,
B2I_S24_O_nn,side,intermediate,4,97,90,73,73,78,77,90,86,
B2I_S25_O_nn,side,intermediate,3,95,100,70,75,80,83,90,90,
B2I_S26_O_nn,side,intermediate,4,97,80,70,70,80,83,90,90,
B2I_S27_O_nn,side,intermediate,4,100,100,170,70,80,83,90,90,
B2I_S28_O_nn,side,intermediate,4,92,70,72,70,80,77,90,90,
B2I_S29_O_nn,side,,,,,,,,,,,
B2I_S30_O_nn,side,intermediate,4,95,100,60,65,70,78,90,90,
B2I_S31_O_nn,side,intermediate,4,95,100,70,70,72,73,90,90,
B2I_S32_O_nn,side,intermediate,3,90,100,72,83,75,70,87,90,
B2I_S33_O_nn,side,intermediate,4,97,100,70,75,80,78,95,90,
B2I_S34_O_nn,side,,,,,,,,,,,
B2I_S35_O_nn,side,intermediate,4,100,90,70,75,72,70,85,90,
B2I_S36_O_nn,side,intermediate,4,100,100,70,75,72,70,90,90,
B2I_S37_O_nn,side,intermediate,4,95,100,70,72,75,72,97,90,
B2I_S38_O_nn,side,intermediate,4,100,100,85,88,87,87,90,90,
B2I_S39_O_nn,side,intermediate,4,95,83,60,67,79,83,97,90,
B2I_S40_O_nn,side,intermediate,4,100,83,70,70,77,83,90,90,
B2I_S41_O_nn,side,intermediate,4,97,100,67,67,75,78,90,90,
B2I_S42_O_nn,side,intermediate,3,100,83,73,73,87,80,90,90,
B2I_S43_O_nn,side,intermediate,4,100,100,70,70,73,72,90,90,
B2I_S44_O (1)_nn,,,,,,,,,,,,
B2I_S44_O (2)_nn,,,,,,,,,,,,
B2I_S45_O_nn,side,intermediate,3,97,92,70,75,80,78,90,90,
B2I_S46_O_nn,side,intermediate,4,97,90,70,78,77,80,90,90,
B2I_S47_O_nn,side,intermediate,4,100,90,70,78,80,83,90,90,
B2I_S48_O_nn,side,intermediate,3,100,100,70,78,80,85,90,90,
B2I_S50_O_nn,side,intermediate,4,95,100,70,75,78,70,90,90,
B2I_S51_O_nn,side,intermediate,3,100,100,70,75,78,80,90,90,
B2I_S52_O_nn,side,intermediate,3,100,100,70,75,78,80,90,90,
B2I_S53_O_nn,side,intermediate,4,100,92,70,72,80,85,90,90,
B2I_S54_O_nn,side,intermediate,4,100,100,79,79,79,81,90,90,
B2I_S55_O_nn,side,intermediate,4,95,100,70,72,73,78,90,90,
B2I_S56_O_nn,side,intermediate,4,97,100,70,70,72,75,90,90,
B2I_S57_O_nn,side,intermediate,4,97,93,60,70,72,75,90,90,
