phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Top,top,stability,head_displacement,100.0,25.0,0.01864531769312544,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,119,100.0
Top,top,wrist_angle,wrist_angle,100.0,20.0,145.7801277093353,145.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,119,100.0
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,16.666666666666664,2.4999999999999996,,75.0,100.0,,critical,3.1250000000000004,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,123,80.0
Mid-downswing,mid_downswing,upper_body_lag,x_factor,75.0,22.5,6.544990867401708,0.0,5.0,1.544990867401708,minor,1.875,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,123,80.0
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,173.3681092449883,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,123,80.0
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,177.2785666403265,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,123,80.0
Impact,impact,arm_extension,lead_arm_angle,74.38874904694188,22.316624714082565,177.5611250953058,155.0,175.0,2.561125095305812,moderate,2.3050125857752306,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,126,92.31662471408256
Impact,impact,lag_release,lag_angle,100.0,2.0,178.78948477908634,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,126,92.31662471408256
Impact,impact,x_factor_unwind,x_factor,100.0,45.0,5.58267488489318,0.0,18.0,0.0,strength,0.0,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,126,92.31662471408256
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,178.78948477908634,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,126,92.31662471408256
Impact,impact,stability,head_displacement,100.0,13.0,0.0207297509127173,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",126,92.31662471408256
Follow-through,follow_through,arm_swing,lead_arm_angle,78.71593924827579,23.614781774482736,177.12840607517242,160.0,175.0,2.128406075172421,minor,0.6385218225517263,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,128,93.61478177448274
Follow-through,follow_through,deceleration,x_factor,100.0,10.0,12.633847512580616,10.0,20.0,0.0,strength,0.0,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,128,93.61478177448274
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-23.300872800400608,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,128,93.61478177448274
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,178.51142545841728,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,128,93.61478177448274
Finish,finish,rotation,hip_rotation,85.69629006102403,17.139258012204806,177.8607419877952,160.0,175.0,2.860741987795194,minor,0.11442967951180777,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,138,97.1392580122048
Finish,finish,balance,head_displacement,100.0,35.0,0.024846891481635925,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,138,97.1392580122048
Finish,finish,posture,spine_angle,100.0,25.0,-7.176763041983032,-10.0,12.0,0.0,strength,0.0,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,138,97.1392580122048
Finish,finish,symmetry,x_factor,100.0,20.0,4.170613131702794,0.0,6.0,0.0,strength,0.0,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,138,97.1392580122048
