phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,176.43655940424375,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,67,89.98084365799839
Top,top,posture,spine_angle,95.39477181239235,19.07895436247847,-9.105254765025837,-8.0,12.0,-1.1052547650258369,strength,0.07368365100172242,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,78,98.92515637646639
Top,top,coil,shoulder_rotation,100.0,35.0,174.83191674009097,170.0,185.0,0.0,strength,0.0,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,78,98.92515637646639
Top,top,stability,head_displacement,100.0,25.0,0.08642859839109666,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,78,98.92515637646639
Top,top,wrist_angle,wrist_angle,100.0,20.0,153.18810981394364,130.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,78,98.92515637646639
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,33.33333333333333,4.999999999999999,,75.0,100.0,,critical,2.5,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,84,89.04980583775745
Mid-downswing,mid_downswing,upper_body_lag,x_factor,96.83268612585815,29.049805837757443,0.2140302407750596,0.0,5.0,0.0,strength,0.23754854056063904,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,84,89.04980583775745
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,169.9612417160926,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,84,89.04980583775745
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,178.09961263663035,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,84,89.04980583775745
Impact,impact,x_factor_unwind,x_factor,13.268274953116759,5.970723728902541,2.9711108746482466,0.0,18.0,0.0,critical,11.708782881329238,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,88,44.24389104128934
Impact,impact,lag_release,lag_angle,100.0,2.0,167.92576856119155,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,88,44.24389104128934
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,167.92576856119155,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,88,44.24389104128934
Impact,impact,stability,head_displacement,100.0,13.0,0.08667707771618231,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",88,44.24389104128934
Follow-through,follow_through,deceleration,x_factor,50.0,5.0,6.821498083666739,10.0,20.0,-3.1785019163332606,critical,0.25,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,91,87.4862083824955
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-1.2147236000318642,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,91,87.4862083824955
Follow-through,follow_through,arm_swing,lead_arm_angle,100.0,30.0,173.2588295929206,160.0,175.0,0.0,strength,0.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,91,87.4862083824955
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,176.4989231310657,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,91,87.4862083824955
Finish,finish,balance,head_displacement,100.0,35.0,0.07590433415632192,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,112,99.94728336103377
Finish,finish,posture,spine_angle,100.0,25.0,0.08889154974656467,-10.0,12.0,0.0,strength,0.0,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,112,99.94728336103377
Finish,finish,rotation,hip_rotation,100.0,20.0,174.39396052533635,160.0,175.0,0.0,strength,0.0,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,112,99.94728336103377
Finish,finish,symmetry,x_factor,100.0,20.0,1.4038560638685738,0.0,6.0,0.0,strength,0.0,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,112,99.94728336103377
